Dec-00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
DATE;PRIVATE CAPITAL;NATURAL RESOURCES;REAL ESTATE OPPORTUNISTIC;REAL ESTATE VALUE ADDED;PRIVATE EQUITY;REAL ESTATE;BUYOUT;GROWTH;DISTRESSED PRIVATE EQUITY;FUNDS OF FUNDS;VENTURE;S&P 500 TOTAL RETURN;VENTURE ALL STAGE;VENTURE EARLY STAGE;VENTURE EXPANSION;Buyout - Small;Buyout - Mid;Buyout - Large;Buyout - Mega;MSCI Emerging Markets TR;MSCI Europe Standard TR;MSCI US REIT TR;MSCI World TR;Private Capital - Asia;Private Capital - Europe;Private Capital - North America;Private Debt - Mezzanine;Private Equity excl. VC;Russell 2000 TR;Russell 3000 TR;Secondaries;Private Debt;Private Debt - Distressed Debt
Jun-11;205,5;375,4;152,8;147,1;195,6;204,2;262,8;174,9;347,7;141,7;62,7;125,5;53,7;63,2;153,1;247,5;252,7;261,9;276,4;454,6;158,7;301,4;139,4;321,9;433;185,2;225,7;250,6;205,2;136,3;281,7;276,8;372,7
Sep-11;198,1;364,1;155,7;149,3;187,9;203,5;248,6;169;329,6;141,2;62,3;108,1;53,1;63,6;150,3;248,7;249,9;251,8;254,5;352,5;122,9;257,6;116,4;307,6;406,4;180,2;226,2;239,8;160,3;115,5;287,8;264,2;348,7
Dec-11;202,4;378,1;156,6;154,1;192,4;208,1;254,5;167,6;336,3;143,9;62,6;122,8;53,5;63;154,1;259,4;256,3;261,5;262;368,2;129,6;297;125,4;310;404,8;185,6;225,6;246,2;188;131,4;293,6;268;359,2
Mar-12;212,4;397,2;160,4;156,1;203,2;213,7;270,9;174,7;348,2;148,2;65,6;137,1;55,6;66,8;163,3;270,8;265,6;275;283,3;420,2;143,6;328,8;140,1;322;429,5;194,4;231,8;260,3;210,7;147,3;302,7;278,7;375,5
Jun-12;214,5;386,5;161,6;157,4;205,5;216,6;273,1;176,7;350,8;152,9;66,4;132,7;56,2;68,7;160,6;278,8;273,5;270;286,8;383,4;133,5;341,2;133,3;319,5;430,3;197,2;239,8;263,2;203,3;142;309,5;282;382
Sep-12;220,1;390,7;166,8;161,2;211,2;220,6;283,1;181,5;364,1;153,6;66,2;141,1;56,5;67,6;160,5;288,3;283,4;277,1;298,5;413,6;145,2;341,2;142,4;324,3;441,7;202,4;249,7;271,4;212,2;150,7;318,5;293,4;397,9
Dec-12;226,5;397,7;167,5;164,6;217,6;225,6;293,3;185,9;377,6;156,8;66,9;140,2;57,4;67,5;162;297,3;293,5;286,2;309,9;436,8;155,4;349,7;146,1;329,5;455,8;208,4;259,2;280,2;215,4;150,7;326,6;304,5;414,1
Mar-13;233,9;407,8;172,5;167,7;225,1;231,9;304,6;192,5;393,7;161,1;68,4;154,4;58,7;69;164,5;304,8;298,8;296;324,5;429,9;159,8;378;157,6;343;459,5;217;259,3;290,2;238,8;166,5;336,5;315,7;433,1
Jun-13;240,1;407,8;177,3;173,3;231,4;239,9;313,8;196,5;406,9;163,6;70,8;160,5;60,7;71,2;174;312,5;309,7;300,1;336,5;395,7;159,6;372;159;341,5;471,6;223,8;263,6;297,9;252,7;173,1;343,5;324,2;443,3
Sep-13;250,8;419;182,5;177,2;243,1;246,1;329,8;204,8;421,1;170;74,7;168;63,9;74,8;189,5;323,3;322,2;310,7;357,9;419,1;181,4;360,8;172,2;349;495,6;234;273,9;312,9;275;182,8;359,4;336,1;459,9
Dec-13;266;430,6;192;184,3;260,1;257,8;352,3;221;442,3;180;81,5;185,7;68,1;84,8;218,3;344,4;338,5;330,6;385,5;426,9;195,7;358,4;186,1;371,3;529,4;247,8;277,4;334,2;299;201,3;375,7;350,5;483,8
